Avg_Spend,Frequency,Time_Spent
0.37,0.95,0.73
0.6,0.16,0.16
0.06,0.87,0.6
0.71,0.02,0.97
0.83,0.21,0.18
0.18,0.3,0.52
0.43,0.29,0.61
0.14,0.29,0.37
0.46,0.79,0.2
0.51,0.59,0.05
0.61,0.17,0.07
0.95,0.97,0.81
0.3,0.1,0.68
0.44,0.12,0.5
0.03,0.91,0.26
0.66,0.31,0.52
0.55,0.18,0.97
0.78,0.94,0.89
0.6,0.92,0.09
0.2,0.05,0.33
0.39,0.27,0.83
0.36,0.28,0.54
0.14,0.8,0.07
0.99,0.77,0.2
0.01,0.82,0.71
0.73,0.77,0.07
0.36,0.12,0.86
0.62,0.33,0.06
0.31,0.33,0.73
0.64,0.89,0.47
0.12,0.71,0.76
0.56,0.77,0.49
0.52,0.43,0.03
0.11,0.03,0.64
0.31,0.51,0.91
0.25,0.41,0.76
0.23,0.08,0.29
0.16,0.93,0.81
0.63,0.87,0.8
0.19,0.89,0.54
0.81,0.9,0.32
0.11,0.23,0.43
0.82,0.86,0.01
0.51,0.42,0.22
0.12,0.34,0.94
0.32,0.52,0.7
0.36,0.97,0.96
0.25,0.5,0.3
0.28,0.04,0.61
0.5,0.05,0.28
0.91,0.24,0.14
0.49,0.99,0.24
0.67,0.76,0.24
0.73,0.37,0.63
0.63,0.54,0.09
0.84,0.32,0.19
0.04,0.59,0.68
0.02,0.51,0.23
0.65,0.17,0.69
0.39,0.94,0.14
0.34,0.11,0.92
0.88,0.26,0.66
0.82,0.56,0.53
0.24,0.09,0.9
0.9,0.63,0.34
0.35,0.73,0.9
0.89,0.78,0.64
0.08,0.16,0.9
0.61,0.01,0.1
0.66,0.01,0.16
0.55,0.69,0.65
0.22,0.71,0.24
0.33,0.75,0.65
0.85,0.66,0.57
0.09,0.37,0.27
0.24,0.97,0.39
0.89,0.63,0.79
0.5,0.58,0.49
0.2,0.72,0.28
0.02,0.65,0.18
0.94,0.95,0.91
0.37,0.02,0.93
0.43,0.97,0.96
0.85,0.29,0.39
0.85,0.32,0.17
0.56,0.94,0.7
0.57,0.1,0.62
0.99,0.14,0.52
0.88,0.74,0.7
0.7,0.36,0.29
0.81,0.81,0.87
0.91,0.51,0.5
0.8,0.65,0.7
0.8,0.89,0.34
0.38,0.09,0.58
0.04,0.47,0.54
0.29,0.59,0.03
0.04,0.82,0.36
0.13,0.52,0.77
0.22,0.62,0.09
0.05,0.53,0.54
0.64,0.73,0.98
0.52,0.32,0.8
0.27,0.44,0.08
0.03,0.96,0.84
0.7,0.41,0.17
0.16,0.25,0.55
0.71,0.66,0.28
0.95,0.74,0.55
0.61,0.42,0.25
0.36,0.76,0.01
0.12,0.05,0.04
0.86,0.7,0.47
0.1,0.49,0.47
0.17,0.43,0.4
0.62,0.64,0.05
0.37,0.63,0.5
0.86,0.66,0.16
0.07,0.64,0.03
0.59,0.94,0.58
0.39,0.64,0.46
0.55,0.94,0.39
0.96,0.91,0.2
0.07,0.1,0.02
0.09,0.68,0.07
0.32,0.84,0.02
0.81,0.28,0.12
0.7,0.63,0.88
0.74,0.8,0.28
0.18,0.75,0.81
0.99,0.41,0.37
0.78,0.34,0.93
0.86,0.43,0.75
0.75,0.1,0.9
0.51,0.83,0.32
0.9,0.39,0.01
0.91,0.09,0.32
0.95,0.95,0.57
0.63,0.45,0.29
0.33,0.67,0.75
0.79,0.79,0.09
0.49,0.06,0.55
0.44,0.89,0.35
0.12,0.14,0.76
0.62,0.1,0.08
0.7,0.07,0.82
0.71,0.08,0.08
0.99,0.37,0.37
